name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
E00027112,397,91,95.25,28.63,65.81,13.16,17.37,98.24,97.15,98.91,92.27,95.93,FALSE,FALSE,86.13,19.75,51.86,6.69,15.59,90.17,90.23,95.59,78.26,82.43,FALSE,FALSE,81.94,9.13,38.95,2.9,8.8,90.74,87.32,90.57,88.25,87.33,FALSE,FALSE,0,output_area
E00027113,384,185,7.6,59.84,81.55,45.73,56.04,23.34,47.63,45.32,13.57,26.46,TRUE,TRUE,6.54,48.2,67.02,35.24,52.12,14.58,38.87,47.03,19.36,14.18,TRUE,TRUE,17.49,35.04,55.39,25.12,41.49,47.38,47.67,59.57,47.53,45.47,FALSE,TRUE,384,output_area
E00027114,197,111,0.81,52.1,2.85,92.67,25.24,8.82,16.82,9.23,12.75,6.65,TRUE,TRUE,0.58,38.88,1.94,87.18,22.12,3.02,5.61,11.44,18.92,3.8,TRUE,TRUE,4.46,25.15,2.02,81.17,13.11,28.9,18.34,36.84,47.19,27.45,TRUE,TRUE,197,output_area
E00027115,338,171,7.73,48.3,27.95,57.94,46.68,23.47,45.86,44.91,13.43,27,TRUE,TRUE,6.55,35.5,22.22,50.64,42.46,14.6,37.39,46.8,19.34,14.28,TRUE,TRUE,17.51,21.54,15.31,39.75,31.45,47.4,46.59,59.38,47.52,45.76,FALSE,TRUE,338,output_area
E00027116,374,142,25.51,36.64,26.46,40.16,45.45,40.3,57.8,52.65,41.52,32.7,FALSE,TRUE,20.76,25.9,21.05,27.95,41.17,31.24,49.78,50.38,48.81,16.5,FALSE,TRUE,39.58,13.28,14.56,18.48,29.97,65.63,55.03,61.94,72.36,53.02,FALSE,FALSE,0,output_area
E00027117,304,131,32.7,56.85,47.63,52.51,62.14,46.13,81.68,58.62,57.12,37.86,FALSE,FALSE,26.99,44.01,37.46,43.83,59.78,37.47,69.96,52.42,56.95,18.6,FALSE,TRUE,45.91,30.49,26.43,33.35,50.54,69.88,69.38,64.77,77,56.93,FALSE,FALSE,0,output_area
E00027118,245,111,7.06,68.93,41.93,76.66,74.36,10.58,40.43,26.05,11.13,5.7,TRUE,TRUE,6.22,58.34,33.59,70.31,73,4.95,30.08,37.03,18.2,3.31,TRUE,TRUE,16.78,46.61,23.33,60.23,66.21,32.83,41.41,51.8,46.77,26.76,FALSE,TRUE,245,output_area
E00027119,325,132,0.95,50.07,30.39,47.63,61.33,8.96,27.27,13.3,7.73,2.85,TRUE,TRUE,0.62,37.65,24.37,37.22,58.52,3.15,18.18,19.4,15.61,1.86,TRUE,TRUE,4.57,23.9,16.67,27.13,49.18,29.15,32.17,42.05,44.85,24.47,TRUE,TRUE,325,output_area
E00027120,256,117,3.66,31.89,5.02,54.55,30.8,16.82,30.39,39.89,9.5,18.86,TRUE,TRUE,4.17,22.33,3.91,45.9,27.33,10.87,20.86,44.72,17.14,11.8,TRUE,TRUE,12.96,10.89,3.35,35.44,17.16,42.21,34.41,57.95,46.01,39.09,FALSE,TRUE,256,output_area
E00027121,274,126,44.78,89.42,49.12,99.19,92.94,8.41,19,6.78,9.77,5.16,FALSE,FALSE,42.4,83.85,39.25,95.46,90.53,2.94,6.75,6.7,17.33,3.19,FALSE,FALSE,57.73,77.26,27.86,94.87,86.13,28.69,20.63,32.28,46.18,26.58,FALSE,FALSE,0,output_area
E00027122,270,114,70.01,94.57,83.72,87.38,96.88,5.97,13.98,10.04,5.29,2.31,FALSE,FALSE,68.03,91.35,69.9,81.88,95.51,1.8,4.42,14.09,12.15,1.59,FALSE,FALSE,72.72,85.82,58.81,73.54,92.53,25.13,16.03,38.97,41.5,23.72,FALSE,FALSE,0,output_area
E00027123,291,129,19.4,76.53,74.08,70.56,84.53,9.23,24.69,14.25,8.55,3.12,FALSE,TRUE,14.34,69.44,59.49,64.45,82.27,3.41,15.2,20.66,16,2.16,FALSE,TRUE,31.41,59.65,46.62,53.5,76.77,29.52,29.92,42.87,45.17,25.1,FALSE,FALSE,0,output_area
E00027124,310,160,8.41,69.47,69.2,84.12,56.58,9.5,17.23,24.69,13.7,6.92,TRUE,TRUE,6.93,59.68,54.68,78.8,52.5,3.96,5.78,35.87,19.42,3.96,TRUE,TRUE,18.29,48.22,41.85,69.6,41.8,30.77,18.61,50.55,47.55,27.66,FALSE,TRUE,310,output_area
