name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
Shawclough Way,,,43,81,84,70,83,13,38,69,15,5,FALSE,FALSE,7,63,63,49,73,4,41,64,4,1,TRUE,TRUE,17,44,49,32,57,40,58,82,41,29,FALSE,TRUE,,pt_point
Sylvia Grove,,,12,34,36,26,35,35,42,21,36,36,FALSE,TRUE,24,63,66,50,68,31,35,16,28,46,FALSE,TRUE,48,44,53,33,52,70,53,51,66,85,FALSE,FALSE,,pt_point
Bury Interchange,,,98,7,24,7,5,98,93,88,98,92,FALSE,FALSE,88,18,42,17,15,88,90,70,99,69,FALSE,FALSE,90,6,29,6,6,94,90,85,99,91,FALSE,FALSE,,pt_point
Lakeside Rise,,,44,41,44,38,55,49,39,61,31,72,FALSE,FALSE,66,22,43,18,23,71,48,79,37,89,FALSE,FALSE,83,8,30,7,10,90,62,88,72,93,FALSE,FALSE,,pt_point
Vale Avenue,,,2,52,49,62,51,17,33,33,8,42,TRUE,TRUE,10,49,44,56,55,22,21,20,18,43,FALSE,TRUE,24,30,31,38,37,62,42,53,56,84,FALSE,TRUE,,pt_point
Birkenhills Drive,,,60,52,61,45,51,63,30,63,80,56,FALSE,FALSE,61,49,53,39,55,64,19,51,95,52,FALSE,FALSE,80,29,39,23,37,87,41,73,97,87,FALSE,FALSE,,pt_point
Bridlepath,,,43,91,94,89,87,25,12,57,17,43,FALSE,FALSE,34,86,86,85,85,16,2,53,22,22,FALSE,FALSE,60,79,76,71,75,55,20,75,60,67,FALSE,FALSE,,pt_point
Astley Street,,,17,62,77,39,60,6,48,36,9,7,FALSE,TRUE,10,65,62,57,74,5,37,13,7,8,TRUE,TRUE,23,47,49,39,59,42,55,49,46,38,FALSE,TRUE,,pt_point
Laneside Close,,,60,90,92,86,89,7,36,54,4,9,FALSE,FALSE,10,73,69,70,81,3,40,51,1,2,FALSE,TRUE,25,58,56,53,69,37,57,73,30,31,FALSE,TRUE,,pt_point
Town Lane,,,21,66,39,78,69,22,42,14,19,33,FALSE,TRUE,17,48,31,56,57,22,44,12,19,32,FALSE,TRUE,36,28,22,39,40,62,59,49,57,77,FALSE,FALSE,,pt_point
